Datum begin;Datum einde;Toewijzing;Aantal giften;Brutobedrag;Transactiekosten;Mandaatkosten;Storneringskosten;Givt servicekosten;Uitbetalingskost;BTW;Storneringen;Netto bedrag;Netto bedrag (niet afgerond)
14-06-2021;14-06-2021;1e Collecte;1;2,5;-0,08;-0,125;-0,00;-0,1125;0;-0,066675;-0,00;2,12;2,115825
19-06-2021;19-06-2021;2e Collecte;5;5;-0,24;-0,375;-0,00;-0,225;0;-0,1764;-0,00;3,98;3,9836
23-06-2021;23-06-2021;1e Collecte;6;28;-0,2401;-0,75;-0,18;-1,08;0;-0,472521;-4,00;21,28;21,277379
24-06-2021;24-06-2021;2e Collecte;1;1;-0,08;-0,125;-0,00;-0,045;0;-0,0525;-0,00;0,7;0,6975
30-06-2021;30-06-2021;1e Collecte;2;2;-0,08;-0,25;-0,00;-0,09;0;-0,0882;-0,00;1,49;1,4918
30-06-2021;30-06-2021;1e Collecte;15;24,5;-0,72;-1,625;-0,00;-1,1025;0;-0,723975;-0,00;20,33;20,328525
30-06-2021;30-06-2021;2e Collecte;13;26;-0,56;-1,375;-0,00;-1,17;0;-0,65205;-0,00;22,24;22,24295
03-07-2021;03-07-2021;1e Collecte;2;4,5;-0,08;-0,25;-0,00;-0,2025;0;-0,111825;-0,00;3,86;3,855675
07-07-2021;13-07-2021;2e Collecte;6;13;-0,28;-0,5;-0,00;-0,585;0;-0,28665;-0,00;11,35;11,34835
07-07-2021;13-07-2021;1e Collecte;5;7;-0,2;-0,25;-0,00;-0,315;0;-0,16065;-0,00;6,07;6,07435
14-07-2021;20-07-2021;2e Collecte;8;13,5;-0,32;-0,625;-0,00;-0,6075;0;-0,326025;-0,00;11,62;11,621475
14-07-2021;20-07-2021;1e Collecte;8;15,5;-0,32;-0,625;-0,00;-0,6975;0;-0,344925;-0,00;13,51;13,512575
21-07-2021;27-07-2021;2e Collecte;8;15,5;-0,32;-0,5;-0,00;-0,6975;0;-0,318675;-0,00;13,66;13,663825
21-07-2021;27-07-2021;1e Collecte;8;11,5;-0,32;-0,5;-0,00;-0,5175;0;-0,280875;-0,00;9,88;9,881625
28-07-2021;03-08-2021;2e Collecte;6;9;-0,24;-0,375;-0,00;-0,405;0;-0,2142;-0,00;7,77;7,7658
